组合,总覆盖,UAV,无人机运动方向角度 (°),无人机运动速度 (m/s),投放点 x (m),投放点 y (m),投放点 z (m),起爆点 x (m),起爆点 y (m),起爆点 z (m)
"FY1,FY2,FY3",8.577894474383136,FY1,0.0,73.64,20000.0,-0.0,2000.0,20000.0,-0.0,1910.0
"FY1,FY2,FY3",8.577894474383136,FY2,350.07,271.81,20013.6,-3.0,1951.7,20013.6,-3.0,1861.7
"FY1,FY2,FY3",8.577894474383136,FY3,21.86,311.57,14651.3,470.3,5.4,14651.3,470.3,-84.6
"FY1,FY2,FY4",7.1518459543835355,FY1,0.0,73.64,20000.0,0.0,2000.0,20000.0,0.0,1910.0
"FY1,FY2,FY4",7.1518459543835355,FY2,348.56,273.96,19605.1,-138.3,4110.4,19605.1,-138.3,4020.4
"FY1,FY2,FY4",7.1518459543835355,FY4,272.75,146.83,11191.1,-1979.4,-78.8,11191.1,-1979.4,-168.8
"FY1,FY2,FY5",5.886732156734647,FY1,0.85,73.58,19997.1,32.5,2009.3,19997.1,32.5,1919.3
"FY1,FY2,FY5",5.886732156734647,FY2,9.86,347.69,19690.9,2737.3,8318.0,19690.9,2737.3,8228.0
"FY1,FY2,FY5",5.886732156734647,FY5,67.59,115.8,14312.5,1182.0,830.1,14312.5,1182.0,740.1
"FY1,FY3,FY4",7.4163734879103,FY1,0.0,73.64,20000.0,-0.0,2000.0,20000.0,-0.0,1910.0
"FY1,FY3,FY4",7.4163734879103,FY3,11.56,478.08,20036.1,-129.8,1377.0,20036.1,-129.8,1287.0
"FY1,FY3,FY4",7.4163734879103,FY4,327.76,182.67,14702.3,-335.0,5097.5,14702.3,-335.0,5007.5
"FY1,FY3,FY5",5.860558677666613,FY1,4.8,73.84,19997.5,184.6,2009.6,19997.5,184.6,1919.6
"FY1,FY3,FY5",5.860558677666613,FY3,13.72,454.69,19236.7,230.9,50.0,19236.7,230.9,-40.0
"FY1,FY3,FY5",5.860558677666613,FY5,155.9,471.18,145.9,3750.9,72.6,145.9,3750.9,-17.4
"FY1,FY4,FY5",7.92321152620949,FY1,0.0,73.64,20000.0,-0.0,2000.0,20000.0,-0.0,1910.0
"FY1,FY4,FY5",7.92321152620949,FY4,346.68,309.04,20008.0,-132.7,2314.3,20008.0,-132.7,2224.3
"FY1,FY4,FY5",7.92321152620949,FY5,137.87,396.06,4256.9,5909.4,-174.9,4256.9,5909.4,-264.9
"FY2,FY3,FY4",4.532737243273563,FY2,352.34,269.81,19996.4,325.2,2048.9,19996.4,325.2,1958.9
"FY2,FY3,FY4",4.532737243273563,FY3,12.63,458.55,19422.2,8.5,509.0,19422.2,8.5,419.0
"FY2,FY3,FY4",4.532737243273563,FY4,164.61,276.63,3188.7,4149.8,1.9,3188.7,4149.8,-88.1
"FY2,FY3,FY5",3.726099595923836,FY2,352.7,269.37,20012.5,373.3,1626.6,20012.5,373.3,1536.6
"FY2,FY3,FY5",3.726099595923836,FY3,26.67,459.08,18291.0,3173.3,-8.9,18291.0,3173.3,-98.9
"FY2,FY3,FY5",3.726099595923836,FY5,169.12,351.01,2738.3,-27.3,-0.2,2738.3,-27.3,-90.2
"FY2,FY4,FY5",6.640418496939123,FY2,349.92,270.55,19986.7,-19.1,1673.6,19986.7,-19.1,1583.6
"FY2,FY4,FY5",6.640418496939123,FY4,348.65,307.69,20034.7,186.2,2340.3,20034.7,186.2,2250.3
"FY2,FY4,FY5",6.640418496939123,FY5,74.91,181.06,14373.6,3096.0,2584.4,14373.6,3096.0,2494.4
"FY3,FY4,FY5",5.113450018347853,FY3,13.84,466.84,19595.2,349.1,1017.5,19595.2,349.1,927.5
"FY3,FY4,FY5",5.113450018347853,FY4,348.3,306.46,19999.8,135.9,2032.8,19999.8,135.9,1942.8
"FY3,FY4,FY5",5.113450018347853,FY5,184.64,374.61,1812.6,-2908.0,1865.4,1812.6,-2908.0,1775.4
