UAV,Missile,无人机运动方向角度 (°),无人机运动速度 (m/s),烟幕干扰弹投放点的x坐标 (m),烟幕干扰弹投放点的y坐标 (m),烟幕干扰弹投放点的z坐标 (m),烟幕干扰弹起爆点的x坐标 (m),烟幕干扰弹起爆点的y坐标 (m),烟幕干扰弹起爆点的z坐标 (m),有效干扰时长 (s)
FY1,M1,55.31,81.17,19184.1,2000,1919.6,19184.1,2000,1829.6,4.6
FY1,M2,26.57,18.33,18280,240,1920,18280,240,1830,7.686
FY1,M3,288.43,10.67,17900,-300,1850,17900,-300,1760,1.246
FY2,M1,350.07,81.44,14400,980,1580,14400,980,1490,3.08
FY2,M2,353.48,94.4,14800,1080,1680,14800,1080,1590,3.9
FY2,M3,341.57,105.74,15000,400,1650,15000,400,1560,1.746
FY3,M1,12.09,143.77,10200,-2100,1090,10200,-2100,1000,2.92
FY3,M2,15.48,180.82,11200,-1560,1260,11200,-1560,1170,2.471
FY3,M3,11.31,204.94,12000,-1800,1300,12000,-1800,1210,3.1
FY4,M1,347.47,92.22,13700,1400,1860,13700,1400,1770,3.501
FY4,M2,350.07,108.36,14200,1440,1920,14200,1440,1830,1.212
FY4,M3,339.62,124.47,14500,700,1850,14500,700,1760,0.989
FY5,M1,15.95,73.14,15100,-1400,1510,15100,-1400,1420,1.877
FY5,M2,23.43,87.84,15400,-960,1620,15400,-960,1530,3.215
FY5,M3,15.64,87.11,15500,-1300,1600,15500,-1300,1510,0.36
